Player,Role,Amount,Team,Year,Player Origin,dob,Played For Country
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018.0,Overseas,1986-11-17,1.0
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018.0,Indian,2000-09-04,0.0
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018.0,Indian,1987-11-07,0.0
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018.0,Indian,1988-06-06,1.0
Akila Dhananjaya,Bowler,5000000,Mumbai Indians,2018.0,Overseas,,0.0
Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018.0,Indian,1993-05-10,0.0
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018.0,Indian,1985-09-23,1.0
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018.0,Indian,1991-11-11,1.0
Andrew Tye,Bowler,72000000,Kings XI Punjab,2018.0,Overseas,1986-12-12,1.0
Aniket Choudhary,Bowler,3000000,Royal Challengers Bangalore,2018.0,Indian,1990-01-28,0.0
Anirudha Ashok Joshi,All-Rounder,2000000,Royal Challengers Bangalore,2018.0,Indian,,0.0
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,1991-04-20,0.0
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018.0,Indian,,0.0
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018.0,Indian,1998-11-30,0.0
Anureet Singh,Bowler,3000000,Rajasthan Royals,2018.0,Indian,1988-03-02,0.0
Apoorv Vijay Wankhade,Batsman,2000000,Kolkata Knight Riders,2018.0,Indian,,0.0
Aryaman Vikram Birla,All-Rounder,3000000,Rajasthan Royals,2018.0,Indian,,0.0
Asif K M,Bowler,4000000,Chennai Super Kings,2018.0,Indian,,0.0
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018.0,Indian,1996-12-13,1.0
Barinder Singh Sran,Bowler,22000000,Kings XI Punjab,2018.0,Indian,,1.0
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018.0,Indian,1993-09-11,0.0
Ben Cutting,All-Rounder,22000000,Mumbai Indians,2018.0,Overseas,1987-01-30,1.0
Ben Dwarshuis,Bowler,14000000,Kings XI Punjab,2018.0,Overseas,1994-06-23,0.0
Ben Laughlin,Bowler,5000000,Rajasthan Royals,2018.0,Overseas,1982-10-03,1.0
Benjamin Stokes,All-Rounder,125000000,Rajasthan Royals,2018.0,Overseas,,1.0
Billy Stanlake,Batsman,5000000,Sunrisers Hyderabad,2018.0,Overseas,1994-11-04,1.0
Bipul Sharma,All-Rounder,2000000,Sunrisers Hyderabad,2018.0,Indian,1983-09-28,0.0
Brendon McCullum,Batsman,36000000,Royal Challengers Bangalore,2018.0,Overseas,1981-09-27,1.0
Cameron Delport,All-Rounder,3000000,Kolkata Knight Riders,2018.0,Overseas,1989-05-12,0.0
Carlos Brathwaite,All-Rounder,20000000,Sunrisers Hyderabad,2018.0,Overseas,1988-07-18,1.0
Chaitanya Bishnoi,All-Rounder,2000000,Chennai Super Kings,2018.0,Indian,1994-08-25,0.0
Chris Jordan,All-Rounder,10000000,Sunrisers Hyderabad,2018.0,Overseas,1988-10-04,1.0
Chris Lynn,Batsman,96000000,Kolkata Knight Riders,2018.0,Overseas,1990-04-10,1.0
Chris Woakes,All-Rounder,74000000,Royal Challengers Bangalore,2018.0,Overseas,1989-03-02,1.0
Christopher Gayle,Batsman,20000000,Kings XI Punjab,2018.0,Overseas,,1.0
Colin De Grandhomme,All-Rounder,22000000,Royal Challengers Bangalore,2018.0,Overseas,1986-07-22,1.0
Colin Munro,All-Rounder,19000000,Delhi Daredevils,2018.0,Overseas,1987-03-11,1.0
Daniel Christian,All-Rounder,15000000,Delhi Daredevils,2018.0,Overseas,1983-05-04,0.0
Darcy Short,All-Rounder,40000000,Rajasthan Royals,2018.0,Overseas,,0.0
David Miller,Batsman,30000000,Kings XI Punjab,2018.0,Overseas,1989-06-10,1.0
Deepak Chahar,All-Rounder,8000000,Chennai Super Kings,2018.0,Indian,1992-08-07,0.0
Deepak Hooda,All-Rounder,36000000,Sunrisers Hyderabad,2018.0,Indian,1995-04-19,0.0
Dhawal Kulkarni,Bowler,7500000,Rajasthan Royals,2018.0,Indian,1988-12-10,1.0
Dhruv Shorey,All-Rounder,2000000,Chennai Super Kings,2018.0,Indian,1992-06-05,0.0
Dinesh Karthik,Wicket Keeper,74000000,Kolkata Knight Riders,2018.0,Indian,1985-06-01,0.0
Dushmantha Chameera,Bowler,5000000,Rajasthan Royals,2018.0,Overseas,1992-01-11,0.0
Dwayne Bravo,All-Rounder,64000000,Chennai Super Kings,2018.0,Overseas,1983-10-07,0.0
Evin Lewis,Batsman,38000000,Mumbai Indians,2018.0,Overseas,1991-12-27,1.0
Faf Du Plessis,Batsman,16000000,Chennai Super Kings,2018.0,Overseas,,1.0
Gautam Gambhir,Batsman,28000000,Delhi Daredevils,2018.0,Indian,1981-10-14,1.0
Glenn Maxwell,All-Rounder,90000000,Delhi Daredevils,2018.0,Overseas,1988-10-14,1.0
Gurkeerat Singh Mann,All-Rounder,7500000,Delhi Daredevils,2018.0,Indian,1990-06-29,0.0
Harbhajan Singh,Bowler,20000000,Chennai Super Kings,2018.0,Indian,1980-07-03,1.0
Harshal Patel,All-Rounder,2000000,Delhi Daredevils,2018.0,Indian,1990-11-23,1.0
Imran Tahir,Bowler,10000000,Chennai Super Kings,2018.0,Overseas,1979-03-27,1.0
Ishan Kishan,Wicket Keeper,62000000,Mumbai Indians,2018.0,Indian,1998-07-18,0.0
Ishank Jaggi,Batsman,2000000,Kolkata Knight Riders,2018.0,Indian,1989-01-27,0.0
Jason Behrendorff,Bowler,15000000,Mumbai Indians,2018.0,Overseas,1990-04-20,1.0
Jason Roy,Batsman,15000000,Delhi Daredevils,2018.0,Overseas,1990-07-21,1.0
Jatin Saxena,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,1982-08-04,0.0
Javon Searless,All-Rounder,3000000,Kolkata Knight Riders,2018.0,Indian,,0.0
Jayant Yadav,All-Rounder,5000000,Delhi Daredevils,2018.0,Indian,1990-01-22,0.0
Jaydev Unadkat,Bowler,115000000,Rajasthan Royals,2018.0,Indian,1991-10-18,1.0
Jean-Paul Duminy,All-Rounder,10000000,Mumbai Indians,2018.0,Overseas,1984-04-14,1.0
Jofra Archer,All-Rounder,72000000,Rajasthan Royals,2018.0,Overseas,1995-04-01,0.0
Jos Buttler,Wicket Keeper,44000000,Rajasthan Royals,2018.0,Overseas,1990-09-08,1.0
Kagiso Rabada,Bowler,42000000,Delhi Daredevils,2018.0,Overseas,1995-05-25,1.0
Kamlesh Nagarkoti,All-Rounder,32000000,Kolkata Knight Riders,2018.0,Indian,1999-12-28,0.0
Kane Williamson,Batsman,30000000,Sunrisers Hyderabad,2018.0,Overseas,1990-08-08,1.0
Kanishk Seth,All-Rounder,2000000,Chennai Super Kings,2018.0,Indian,1997-11-04,0.0
Karn Sharma,Bowler,50000000,Chennai Super Kings,2018.0,Indian,1987-10-23,1.0
Karun Nair,Batsman,56000000,Kings XI Punjab,2018.0,Indian,1991-12-06,0.0
Kedar Jadhav,All-Rounder,78000000,Chennai Super Kings,2018.0,Indian,1985-03-26,1.0
Kieron Pollard,All-Rounder,54000000,Mumbai Indians,2018.0,Overseas,1987-05-12,1.0
KL Rahul,Batsman,110000000,Kings XI Punjab,2018.0,Indian,1992-04-18,1.0
Krishnappa Gowtham,Bowler,62000000,Rajasthan Royals,2018.0,Indian,1988-10-20,0.0
Krunal Pandya,All-Rounder,88000000,Mumbai Indians,2018.0,Indian,1991-03-24,0.0
Kshitiz Sharma,All-Rounder,2000000,Chennai Super Kings,2018.0,Indian,1990-04-21,1.0
Kuldeep Yadav,Bowler,58000000,Kolkata Knight Riders,2018.0,Indian,1994-12-14,1.0
Kulwant Khejroliya,Bowler,8500000,Royal Challengers Bangalore,2018.0,Indian,1992-03-13,0.0
Lungisani Ngidi,Bowler,5000000,Chennai Super Kings,2018.0,Overseas,,1.0
M. Ashwin,Bowler,22000000,Royal Challengers Bangalore,2018.0,Indian,1990-09-08,0.0
Washington Sundar,All-Rounder,32000000,Royal Challengers Bangalore,2018.0,Indian,1999-10-05,1.0
Mahipal Lomror,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,1999-11-16,0.0
