Player,Role,Amount,Team,Year,Player Origin,Played For Country,dob
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020.0,Overseas,1.0,1986-11-17
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Indian,0.0,2004-06-15
Akash Singh,Bowler,2000000,Rajasthan Royals,2020.0,Indian,0.0,1995-12-20
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020.0,Overseas,1.0,1991-08-27
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020.0,Overseas,1.0,1986-12-12
Anirudha Ashok Joshi,All-Rounder,2000000,Rajasthan Royals,2020.0,Indian,0.0,
Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020.0,Indian,0.0,1999-10-17
Chris Green,All-Rounder,2000000,Kolkata Knight Riders,2020.0,Overseas,0.0,1993-10-01
Chris Jordan,All-Rounder,30000000,Kings XI Punjab,2020.0,Overseas,1.0,1988-10-04
Chris Lynn,Batsman,20000000,Mumbai Indians,2020.0,Overseas,1.0,1990-04-10
Chris Woakes,All-Rounder,15000000,Delhi Capitals,2020.0,Overseas,1.0,1989-03-02
Christopher Morris,All-Rounder,100000000,Royal Challengers Bangalore,2020.0,Overseas,1.0,
Dale Steyn,Bowler,20000000,Royal Challengers Bangalore,2020.0,Overseas,1.0,1983-06-27
David Miller,Batsman,7500000,Rajasthan Royals,2020.0,Overseas,1.0,1989-06-10
Deepak Hooda,All-Rounder,5000000,Kings XI Punjab,2020.0,Indian,0.0,1995-04-19
Digvijay Deshmukh,All-Rounder,2000000,Mumbai Indians,2020.0,Indian,0.0,1998-04-12
Eoin Morgan,Batsman,52500000,Kolkata Knight Riders,2020.0,Overseas,1.0,1986-09-10
Fabian Allen,All-Rounder,5000000,Sunrisers Hyderabad,2020.0,Overseas,1.0,1995-05-07
Glenn Maxwell,All-Rounder,107500000,Kings XI Punjab,2020.0,Overseas,1.0,1988-10-14
Isuru Udana,All-Rounder,5000000,Royal Challengers Bangalore,2020.0,Overseas,1.0,1988-02-17
James Neesham,All-Rounder,5000000,Kings XI Punjab,2020.0,Overseas,1.0,1990-09-17
Jason Roy,Batsman,15000000,Delhi Capitals,2020.0,Overseas,1.0,1990-07-21
