Player,Player Origin,Role,Played For Country,dob
Abid Mushtaq,Indian,All-Rounder,0.0,1997-01-17
Akash Singh,Indian,Bowler,0.0,1995-12-20
Angkrish Raghuvanshi,Indian,Batter,0.0,2005-06-05
Anshul Kamboj,Indian,All-Rounder,0.0,2000-12-06
Arshin Kulkarni,Indian,All-Rounder,0.0,2005-02-15
Ashutosh Sharma,Indian,All-Rounder,0.0,1998-09-15
Avanish Rao Aravelly,Indian,Wicket-Keeper,0.0,
Jhathavedh Subramanyan,Indian,Bowler,0.0,
Manav Suthar,Indian,Bowler,0.0,2002-08-03
Mohd. Arshad Khan,Indian,All-Rounder,0.0,
Naman Dhir,Indian,All-Rounder,0.0,1999-12-31
Prince Choudhary,Indian,Bowler,0.0,1999-09-29
Ramandeep Singh,Indian,All-Rounder,0.0,1997-04-13
Rasikh Dar,Indian,Bowler,0.0,2000-04-05
Ricky Bhui,Indian,Wicket-Keeper,0.0,1996-09-29
Sakib Hussain,Indian,Bowler,0.0,2004-12-14
Saurav Chuahan,Indian,Batter,0.0,
Shashank Singh,Indian,Batter,0.0,1991-11-21
Shivalik Sharma,Indian,All-Rounder,0.0,1998-11-28
Shreyas Gopal,Indian,Bowler,0.0,1993-09-04
Swapnil Singh,Indian,All-Rounder,0.0,1991-01-22
Swastik Chhikara,Indian,Batter,0.0,
Tanay Thyagarajann,Indian,All-Rounder,0.0,
Vishwanath Pratap Singh,Indian,All-Rounder,0.0,
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,0.0,1994-08-19
Azmatullah Omarzai,Overseas,All-Rounder,1.0,2000-03-24
Chetan Sakariya,Indian,Bowler,1.0,1998-02-28
K.S. Bharat,Indian,Wicket-Keeper,1.0,
Manish Pandey,Indian,Batter,1.0,1989-09-10
Nandre Burger,Overseas,Bowler,1.0,1995-08-11
Tristan Stubbs,Overseas,Wicket-Keeper,1.0,2000-08-14
Kartik Tyagi,Indian,Bowler,0.0,2000-11-08
Shai Hope,Overseas,Wicket-Keeper,1.0,1993-11-10
Ashton Turner,Overseas,Batter,1.0,1993-01-25
Gus Atkinson,Overseas,Bowler,1.0,1998-01-19
Sumit Kumar,Indian,All-Rounder,0.0,1995-12-30
Mohammad Nabi,Overseas,All-Rounder,1.0,1985-01-01
Sherfane Rutherford,Overseas,Batter,1.0,1998-08-15
Tom Curran,Overseas,All-Rounder,1.0,1995-03-12
Wanindu Hasaranga,Overseas,All-Rounder,1.0,1997-07-29
Jaydev Unadkat,Indian,Bowler,1.0,1991-10-18
Rachin Ravindra,Overseas,All-Rounder,1.0,1999-11-18
David Willey,Overseas,All-Rounder,1.0,1990-02-28
Lockie Ferguson,Overseas,Bowler,1.0,1991-06-13
Mujeeb Rahman,Overseas,Bowler,1.0,
Mustafizur Rahman,Overseas,Bowler,1.0,1995-09-06
Sushant Mishra,Indian,Bowler,0.0,2000-12-23
M. Siddharth,Indian,Bowler,0.0,1990-10-03
Robin Minz,Indian,Wicket-Keeper,0.0,2002-09-13
Harry Brook,Overseas,Batter,1.0,1999-02-22
Shardul Thakur,Indian,All-Rounder,1.0,1991-10-16
Chris Woakes,Overseas,All-Rounder,1.0,1989-03-02
Dilshan Madushanka,Overseas,Bowler,1.0,2000-09-18
Nuwan Thushara,Overseas,Bowler,1.0,1994-08-06
