Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Aaron Finch,1737.0,1320.0,176.0,67.0,131.59,26.32,66.0,44.0,67.0,1.0,9.34,,44.0,7.17,1.0,0.0
Abdul Samad,,,,,,,,,,,,,,,,
Akash Singh,2.0,9.0,0.0,0.0,22.22,0.5,4.0,486.0,628.0,28.0,7.97,22.43,17.36,78.83,12.0,1.0
Alex Carey,,,,,,,,,,,,,,,,
Andrew Tye,60.0,58.0,4.0,2.0,103.45,8.57,7.0,612.0,816.0,39.0,8.33,20.92,15.69,98.0,22.0,2.0
Anirudha Ashok Joshi,,,,,,,,,,,,,,,,
Anuj Rawat,,,,,,,,,,,,,,,,
Chris Green,,,,,,,,,,,,,,,,
Chris Jordan,3.0,5.0,0.0,0.0,60.0,1.5,2.0,213.0,304.0,12.0,9.21,25.33,17.75,33.0,13.0,2.0
Chris Lynn,1260.0,888.0,125.0,63.0,141.89,34.05,37.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Chris Woakes,63.0,66.0,5.0,2.0,95.45,10.5,6.0,396.0,580.0,25.0,9.31,23.2,15.84,62.33,22.0,0.0
Christopher Morris,517.0,327.0,37.0,27.0,158.1,27.21,19.0,1279.0,1653.0,67.0,8.02,24.67,19.09,206.0,39.0,4.0
Dale Steyn,163.0,155.0,14.0,3.0,105.16,7.41,22.0,2175.0,2353.0,95.0,6.78,24.77,22.89,347.0,86.0,7.0
David Miller,1796.0,1297.0,125.0,82.0,138.47,33.89,53.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Deepak Hooda,505.0,401.0,26.0,22.0,125.94,14.43,35.0,215.0,278.0,6.0,8.14,46.33,35.83,34.17,10.0,0.0
Digvijay Deshmukh,,,,,,,,,,,,,,,,
Eoin Morgan,854.0,705.0,72.0,34.0,121.13,21.35,40.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Fabian Allen,,,,,,,,,,,,,,,,
Glenn Maxwell,1396.0,857.0,110.0,91.0,162.89,23.27,60.0,426.0,596.0,16.0,8.64,37.25,26.62,69.0,12.0,0.0
Isuru Udana,,,,,,,,,,,,,,,,
James Neesham,42.0,46.0,3.0,1.0,91.3,14.0,3.0,57.0,94.0,1.0,10.44,,57.0,9.0,3.0,0.0
Jason Roy,179.0,134.0,18.0,8.0,133.58,29.83,6.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Jaydev Unadkat,54.0,53.0,6.0,1.0,101.89,9.0,6.0,1484.0,2142.0,72.0,8.85,29.75,20.61,242.0,31.0,1.0
Josh Hazlewood,,,,,,,,,,,,,,,,
Joshua Philippe,,,,,,,,,,,,,,,,
Kane Richardson,36.0,39.0,2.0,1.0,92.31,12.0,3.0,301.0,415.0,17.0,8.5,24.41,17.71,48.83,8.0,0.0
Kartik Tyagi,,,,,,,,,,,,,,,,
Lalit Yadav,,,,,,,,,,,,,,,,
M Siddharth,,,,,,,,,,,,,,,,
Marcus Stoinis,473.0,362.0,34.0,18.0,130.66,33.79,14.0,378.0,573.0,15.0,9.37,38.2,25.2,61.17,11.0,0.0
Mitchell Marsh,225.0,196.0,9.0,14.0,114.8,18.75,12.0,314.0,403.0,19.0,8.01,21.21,16.53,50.33,10.0,2.0
Mohit Sharma,122.0,117.0,9.0,4.0,104.27,8.13,15.0,1770.0,2425.0,91.0,8.41,26.65,19.45,288.33,35.0,5.0
Mohsin Khan,,,,,,,,,,,,,,,,
Nathan Coulter-Nile,52.0,50.0,3.0,4.0,104.0,6.5,8.0,586.0,725.0,36.0,7.73,20.14,16.28,93.83,16.0,7.0
Nikhil Shankar Naik,23.0,31.0,1.0,0.0,74.19,11.5,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Oshane Thomas,0.0,0.0,0.0,0.0,,0.0,0.0,56.0,74.0,3.0,8.22,,18.67,9.0,1.0,1.0
Pat Cummins,77.0,55.0,5.0,4.0,140.0,12.83,6.0,379.0,508.0,17.0,8.44,29.88,22.29,60.17,17.0,1.0
Pavan Deshpande,,,,,,,,,,,,,,,,
Piyush Chawla,564.0,512.0,51.0,17.0,110.16,12.0,47.0,3091.0,4017.0,148.0,7.88,27.14,20.89,509.67,32.0,1.0
Prabhsimran Singh,16.0,17.0,1.0,1.0,94.12,16.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Pravin Tambe,18.0,38.0,1.0,0.0,47.37,9.0,2.0,613.0,765.0,25.0,7.65,30.6,24.52,100.0,13.0,0.0
Prince Balwant Rai Singh,16.0,17.0,1.0,1.0,94.12,16.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Priyam Garg,,,,,,,,,,,,,,,,
R. Sai Kishore,,,,,,,,,,,,,,,,
Rahul Tripathi,758.0,550.0,74.0,27.0,137.82,26.14,29.0,6.0,12.0,0.0,12.0,,,1.0,0.0,0.0
Ravi Bishnoi,19.0,17.0,1.0,2.0,111.76,6.33,3.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Robin Uthappa,4400.0,3357.0,433.0,156.0,131.07,29.14,151.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Sam Curran,95.0,55.0,13.0,3.0,172.73,23.75,4.0,207.0,323.0,10.0,9.79,32.3,20.7,33.0,8.0,1.0
Sandeep Bavanaka,,,,,,,,,,,,,,,,
Sanjay Yadav,1490.0,1133.0,154.0,45.0,131.51,28.11,53.0,6.0,8.0,0.0,8.0,,,1.0,0.0,0.0
