Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Played For Country
Aaron Finch,692.0,473.0,70.0,30.0,146.3,32.95,21.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Abhishek Sharma,,,,,,,,,,,,,,,,,0.0
Aditya Tare,26.0,38.0,4.0,0.0,68.42,5.2,5.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Ajinkya Rahane,862.0,701.0,89.0,18.0,122.97,33.15,26.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Akila Dhananjaya,,,,,,,,,,,,,,,,,0.0
Akshdeep Nath,20.0,28.0,1.0,0.0,71.43,5.0,4.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Ambati Rayudu,425.0,355.0,35.0,15.0,119.72,26.56,16.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Amit Mishra,53.0,66.0,2.0,2.0,80.3,17.67,3.0,521.0,690.0,23.0,8.13,30.0,22.65,84.83,10.0,2.0,1.0
Andrew Tye,28.0,18.0,2.0,1.0,155.56,28.0,1.0,122.0,132.0,12.0,6.6,,10.17,20.0,2.0,0.0,1.0
Aniket Choudhary,25.0,20.0,1.0,1.0,125.0,25.0,1.0,108.0,144.0,5.0,8.56,,21.6,16.83,6.0,1.0,1.0
Anirudha Ashok Joshi,,,,,,,,,,,,,,,,,0.0
Ankit Sharma,28.0,18.0,2.0,1.0,155.56,28.0,1.0,76.0,100.0,1.0,8.33,,76.0,12.0,4.0,0.0,1.0
Ankit Singh Rajpoot,4.0,7.0,1.0,0.0,57.14,4.0,1.0,159.0,205.0,7.0,8.2,,22.71,25.0,8.0,1.0,1.0
Anukul Roy,,,,,,,,,,,,,,,,,0.0
Anureet Singh,15.0,12.0,2.0,0.0,125.0,15.0,1.0,50.0,69.0,0.0,8.62,,,8.0,0.0,2.0,1.0
Apoorv Vijay Wankhade,,,,,,,,,,,,,,,,,0.0
Aryaman Vikram Birla,,,,,,,,,,,,,,,,,0.0
Asif K M,,,,,,,,,,,,,,,,,0.0
Avesh Khan,0.0,0.0,0.0,0.0,,0.0,0.0,24.0,23.0,1.0,5.75,,24.0,4.0,0.0,0.0,1.0
Barinder Singh Sran,4.0,3.0,0.0,0.0,133.33,4.0,0.0,325.0,445.0,14.0,8.64,31.79,23.21,51.5,16.0,0.0,1.0
Basil Thampi,26.0,24.0,1.0,1.0,108.33,26.0,0.0,254.0,396.0,8.0,9.74,,31.75,40.67,10.0,0.0,1.0
Ben Cutting,116.0,60.0,9.0,9.0,193.33,29.0,4.0,147.0,203.0,6.0,8.52,,24.5,23.83,4.0,0.0,1.0
Ben Dwarshuis,,,,,,,,,,,,,,,,,0.0
Ben Laughlin,,,,,,,,,,,,,,,,,0.0
Benjamin Stokes,316.0,221.0,22.0,15.0,142.99,31.6,10.0,274.0,319.0,12.0,7.25,,22.83,44.0,10.0,0.0,1.0
Billy Stanlake,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,70.0,2.0,8.75,,25.0,8.0,2.0,0.0,1.0
Bipul Sharma,82.0,49.0,3.0,6.0,167.35,27.33,3.0,184.0,251.0,6.0,8.28,,30.67,30.33,2.0,0.0,1.0
Brendon McCullum,667.0,475.0,66.0,34.0,140.42,25.65,26.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Cameron Delport,,,,,,,,,,,,,,,,,0.0
Carlos Brathwaite,95.0,53.0,8.0,8.0,179.25,11.88,8.0,181.0,257.0,8.0,8.81,,22.62,29.17,3.0,3.0,1.0
Chaitanya Bishnoi,,,,,,,,,,,,,,,,,0.0
Chris Jordan,3.0,5.0,0.0,0.0,60.0,1.5,2.0,188.0,270.0,12.0,9.31,,15.67,29.0,12.0,2.0,1.0
Chris Lynn,320.0,183.0,25.0,20.0,174.86,45.71,7.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Chris Woakes,46.0,47.0,4.0,1.0,97.87,11.5,4.0,278.0,387.0,17.0,8.8,,16.35,44.0,14.0,0.0,1.0
Christopher Gayle,427.0,312.0,32.0,35.0,136.86,22.47,19.0,65.0,63.0,2.0,6.3,,32.5,10.0,4.0,1.0,1.0
Colin De Grandhomme,126.0,92.0,10.0,6.0,136.96,15.75,8.0,102.0,135.0,4.0,8.44,,25.5,16.0,4.0,2.0,1.0
Colin Munro,30.0,30.0,3.0,0.0,100.0,10.0,3.0,12.0,15.0,0.0,7.5,,,2.0,0.0,0.0,1.0
Daniel Christian,79.0,49.0,5.0,5.0,161.22,15.8,5.0,249.0,298.0,11.0,7.45,,22.64,40.0,9.0,0.0,1.0
