Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Played For Country
Agnivesh Ayachi,,,,,,,,,,,,,,,,,0.0
Akshdeep Nath,,,,,,,,,,,,,,,,,0.0
Ankush Bains,,,,,,,,,,,,,,,,,0.0
Anmolpreet Singh,,,,,,,,,,,,,,,,,0.0
Anrich Nortje,,,,,,,,,,,,,,,,,0.0
Arshdeep Singh,,,,,,,,,,,,,,,,,0.0
Ashton Turner,26.0,20.0,1.0,0.0,130.0,8.67,3.0,37.0,42.0,3.0,7.0,,12.33,6.0,1.0,0.0,1.0
Axar Rajesh Patel,,,,,,,,,,,,,,,,,0.0
Bandaru Ayyappa,,,,,,,,,,,,,,,,,0.0
Barinder Singh Sran,,,,,,,,,,,,,,,,,0.0
Carlos Brathwaite,167.0,158.0,7.0,10.0,105.7,23.86,7.0,388.0,485.0,22.0,7.89,22.05,17.64,61.5,18.0,1.0,1.0
Colin Ingram,,,,,,,,,,,,,,,,,0.0
Darshan Nalkande,,,,,,,,,,,,,,,,,0.0
Devdutt Padikkal,,,,,,,,,,,,,,,,,0.0
Gurkeerat Singh Mann,,,,,,,,,,,,,,,,,0.0
Hanuma Vihari,,,,,,,,,,,,,,,,,0.0
Hardus Viljoen,,,,,,,,,,,,,,,,,0.0
Harpreet Brar,,,,,,,,,,,,,,,,,0.0
Harry Gurney,,,,,,,,,,,,,,,,,0.0
Heinrich Klaasen,144.0,85.0,8.0,11.0,169.41,24.0,6.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Himmat Singh,,,,,,,,,,,,,,,,,0.0
Ishant Sharma,,,,,,,,,,,,,,,,,0.0
Jalaj Saxena,,,,,,,,,,,,,,,,,0.0
Jaydev Unadkat,0.0,0.0,0.0,0.0,,0.0,0.0,197.0,258.0,14.0,8.41,,14.07,30.67,13.0,0.0,1.0
Joe Denly,20.0,17.0,3.0,0.0,117.65,20.0,1.0,24.0,22.0,4.0,5.5,,6.0,4.0,0.0,0.0,1.0
Jonny Bairstow,201.0,133.0,17.0,10.0,151.13,40.2,5.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Keemo Paul,93.0,77.0,7.0,5.0,120.78,31.0,3.0,258.0,325.0,12.0,7.99,,21.5,40.67,11.0,3.0,1.0
Lasith Malinga,,,,,,,,,,,,,,,,,0.0
Liam Livingstone,16.0,19.0,1.0,0.0,84.21,8.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Lockie Ferguson,1.0,3.0,0.0,0.0,33.33,1.0,1.0,52.0,61.0,4.0,7.62,,13.0,8.0,4.0,0.0,1.0
M. Ashwin,,,,,,,,,,,,,,,,,0.0
Manan Vohra,,,,,,,,,,,,,,,,,0.0
Martin Guptill,463.0,329.0,31.0,27.0,140.73,35.62,13.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Milind Kumar,,,,,,,,,,,,,,,,,0.0
Mohammad Shami,,,,,,,,,,,,,,,,,0.0
Mohit Sharma,,,,,,,,,,,,,,,,,0.0
Moises Henriques,145.0,105.0,7.0,7.0,138.1,72.5,2.0,32.0,48.0,0.0,9.6,,,5.0,2.0,0.0,1.0
Nathu Singh,,,,,,,,,,,,,,,,,0.0
Nicolas Pooran,80.0,45.0,8.0,4.0,177.78,80.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Nikhil Shankar Naik,,,,,,,,,,,,,,,,,0.0
Oshane Thomas,8.0,4.0,2.0,0.0,200.0,8.0,0.0,100.0,130.0,4.0,8.12,,25.0,16.0,2.0,2.0,1.0
Pankaj Jaswal,,,,,,,,,,,,,,,,,0.0
Prabhsimran Singh,,,,,,,,,,,,,,,,,0.0
Prayas Ray Barman,,,,,,,,,,,,,,,,,0.0
Prithvi Raj Yarra,,,,,,,,,,,,,,,,,0.0
Rasikh Dar,,,,,,,,,,,,,,,,,0.0
Riyan Parag,,,,,,,,,,,,,,,,,0.0
Ruturaj Gaikwad,,,,,,,,,,,,,,,,,0.0
Sam Curran,,,,,,,,,,,,,,,,,0.0
Sarfaraz Naushad Khan,,,,,,,,,,,,,,,,,0.0
Shashank Singh,,,,,,,,,,,,,,,,,0.0
Sherfane Rutherford,,,,,,,,,,,,,,,,,0.0
Shimron Hetmyer,58.0,45.0,9.0,2.0,128.89,14.5,4.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
Shivam Dube,,,,,,,,,,,,,,,,,0.0
Shrikant Mundhe,,,,,,,,,,,,,,,,,0.0
Shubham Ranjane,,,,,,,,,,,,,,,,,0.0
Varun Aaron,,,,,,,,,,,,,,,,,0.0
Varun Chakaravarthy,,,,,,,,,,,,,,,,,0.0
Wriddhiman Saha,,,,,,,,,,,,,,,,,0.0
Yuvraj Singh,43.0,35.0,2.0,3.0,122.86,14.33,3.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0
