Unnamed: 0,PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance,Auction Number
0,Finn Allen,Overseas,Batter,0.0,16480667.0,0.0,5000000.0,0.841418088,1
1,Ashutosh Sharma,Indian,All-Rounder,0.0,7400235.5,0.0,2000000.0,0.822750703,1
2,Kusal Mendis,Overseas,Wicket-Keeper,0.0,2125319.5,0.0,5000000.0,0.69953111,1
3,Rassie Van Der Dussen,Overseas,Batter,0.0,2135125.5,0.0,15000000.0,0.686390984,1
4,Samuel Hain,Overseas,Batter,0.0,2127266.2,0.0,2000000.0,0.681846464,1
5,Michael Bracewell,Overseas,All-Rounder,1.0,10993871.0,0.0,2000000.0,0.675320255,1
6,James Vince,Overseas,Batter,1.0,8082313.0,247500000.0,0.0,0.674611308,1
7,Josh Inglis,Overseas,Wicket-Keeper,1.0,10078664.0,0.0,7500000.0,0.671619204,1
8,Rilee Rossouw,Overseas,Batter,1.0,16531287.0,0.0,5000000.0,0.66897751,1
9,Harry Brook,Overseas,Batter,1.0,15408319.0,140000000.0,0.0,0.663030289,1
10,Colin Munro,Overseas,Batter,1.0,5077823.5,0.0,4000000.0,0.662958213,1
11,Reeza Hendricks,Overseas,Batter,1.0,13276799.0,0.0,20000000.0,0.650626802,1
12,Travis Head,Overseas,Batter,1.0,7459493.0,0.0,2000000.0,0.649978063,1
13,Tom Kohler-Cadmore,Overseas,Wicket-Keeper,0.0,2126479.5,80000000.0,0.0,0.649650746,1
14,Matthew Short,Overseas,All-Rounder,0.0,2771313.5,0.0,5000000.0,0.640678301,1
15,Virat Singh,Indian,Batter,0.0,2322073.0,0.0,2000000.0,0.638966778,1
16,Jake Fraser-Mcgurk,Overseas,All-Rounder,0.0,2114126.8,0.0,5000000.0,0.63834455,1
17,Ben Duckett,Overseas,Wicket-Keeper,1.0,12902614.0,0.0,2000000.0,0.629280803,1
18,Gerald Coetzee,Overseas,All-Rounder,1.0,2130247.5,0.0,2000000.0,0.628510669,1
19,Johnson Charles,Overseas,Wicket-Keeper,1.0,9470781.0,0.0,5000000.0,0.614042615,1
20,Tristan Stubbs,Overseas,Wicket-Keeper,1.0,11498641.0,0.0,5000000.0,0.612658489,1
21,Shubham Dubey,Indian,Batter,0.0,2117931.8,36000000.0,0.0,0.611521219,1
22,Ricky Bhui,Indian,Wicket-Keeper,0.0,2200513.8,0.0,3000000.0,0.610654478,1
23,Wesley Agar,Overseas,All-Rounder,0.0,2121347.5,5000000.0,0.0,0.590554024,1
24,Brandon King,Overseas,Batter,1.0,20544278.0,0.0,15000000.0,0.578274872,1
25,Daryl Mitchell,Overseas,All-Rounder,1.0,18602014.0,20000000.0,0.0,0.576818499,1
26,Arshin Kulkarni,Indian,All-Rounder,0.0,2099252.5,0.0,2000000.0,0.55684592,1
27,K.S. Bharat,Indian,Wicket-Keeper,1.0,2360383.5,40000000.0,0.0,0.551854135,1
28,Shai Hope,Overseas,Wicket-Keeper,1.0,7142858.5,0.0,20000000.0,0.551314064,1
29,Ibrahim Zadran,Overseas,Batter,1.0,16641866.0,0.0,5000000.0,0.547876478,1
30,Manish Pandey,Indian,Batter,1.0,5443306.5,2000000.0,2000000.0,0.54573212,1
