player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
DJ Bravo,Chennai Super Kings,7,6,1,1,11667,35,2,135,180,6,857,300,225,210,9,0
DL Chahar,Chennai Super Kings,7,12,1,1,5833,70,1,321,397,12,763,3308,2675,520,9,0
F du Plessis,Chennai Super Kings,449,319,42,14,14075,4082,11,1,1,1,1,1,1,1,1,0
Imran Tahir,Chennai Super Kings,13,10,2,1,1300,130,1,66,77,1,70,770,660,110,1,0
JR Hazlewood,Chennai Super Kings,1,1,1,1,1,1,1,61,70,1,70,700,610,100,1,0
KM Jadhav,Chennai Super Kings,62,65,7,1,9538,2067,3,1,1,1,1,1,1,1,1,0
KV Sharma,Chennai Super Kings,1,1,1,1,1,1,1,118,165,5,868,330,236,190,4,0
L Ngidi,Chennai Super Kings,1,1,1,1,1,1,1,104,167,9,1044,1856,1156,160,6,2
M Vijay,Chennai Super Kings,32,43,4,1,7442,1067,3,1,1,1,1,1,1,1,1,0
MJ Santner,Chennai Super Kings,1,1,1,1,1,1,1,42,53,2,757,1,210,70,1,0
MS Dhoni,Chennai Super Kings,200,172,16,7,11628,250,1,1,1,1,1,1,1,1,1,0
N Jagadeesan,Chennai Super Kings,33,29,4,1,11379,165,2,1,1,1,1,1,1,1,1,0
PP Chawla,Chennai Super Kings,1,1,1,1,1,1,1,128,191,6,91,3183,2133,210,1,1
RA Jadeja,Chennai Super Kings,232,134,22,11,17313,464,5,221,318,6,875,530,3683,3633,3,0
RD Gaikwad,Chennai Super Kings,204,169,16,6,12071,510,4,1,1,1,1,1,1,1,1,0
SM Curran,Chennai Super Kings,186,141,12,12,13191,2325,8,265,344,13,819,2646,2038,420,11,2
SN Thakur,Chennai Super Kings,12,21,1,1,5714,120,1,203,276,10,854,276,203,3233,7,2
SR Watson,Chennai Super Kings,299,247,33,13,12105,299,10,1,1,1,1,1,1,1,1,0
Monu Kumar,Chennai Super Kings,1,1,1,1,1,1,1,16,20,1,100,1,1,20,3,1
A Mishra,Delhi Capitals,1,1,1,1,1,1,1,61,72,3,72,240,2033,100,1,1
A Nortje,Delhi Capitals,4,5,1,1,800,40,1,352,482,22,846,2191,160,570,10,0
AM Rahane,Delhi Capitals,113,107,12,2,10561,1412,8,1,1,1,1,1,1,1,1,0
AR Patel,Delhi Capitals,111,75,6,8,1480,1586,7,284,313,8,666,3912,355,470,2,0
AT Carey,Delhi Capitals,32,29,1,1,11034,160,2,1,1,1,1,1,1,1,1,0
Avesh Khan,Delhi Capitals,1,1,1,1,1,1,1,25,42,1,105,1,1,40,1,0
DR Sams,Delhi Capitals,1,2,1,1,1,1,1,77,114,1,95,1,1,120,4,1
HV Patel,Delhi Capitals,21,24,2,1,875,105,2,98,134,3,893,4467,3267,150,7,1
I Sharma,Delhi Capitals,1,1,1,1,1,1,1,20,26,1,867,1,1,30,2,0
K Rabada,Delhi Capitals,56,49,4,2,11429,140,4,386,527,28,855,1882,1379,6167,14,2
MP Stoinis,Delhi Capitals,299,215,24,13,13907,230,13,166,254,11,952,2309,1509,2667,6,0
P Dubey,Delhi Capitals,7,13,1,1,5385,70,1,48,72,1,90,1,1,80,1,0
PP Shaw,Delhi Capitals,223,158,26,8,14114,1858,12,1,1,1,1,1,1,1,1,0
R Ashwin,Delhi Capitals,33,28,3,1,11786,165,2,306,389,11,778,3536,2782,500,6,0
RR Pant,Delhi Capitals,312,269,28,9,11599,312,10,1,1,1,1,1,1,1,1,0
SO Hetmyer,Delhi Capitals,178,111,10,12,16036,2543,7,1,1,1,1,1,1,1,1,0
SS Iyer,Delhi Capitals,480,387,40,13,12403,3429,14,1,1,1,1,1,1,1,1,0
TU Deshpande,Delhi Capitals,21,12,2,1,1750,210,1,110,192,3,1129,640,3667,170,7,1
S Dhawan,Delhi Capitals,618,423,67,13,1461,4754,13,1,1,1,1,1,1,1,1,0
AD Russell,Kolkata Knight Riders,108,69,8,9,15652,135,8,101,146,6,912,2433,1683,160,4,1
CJ Green,Kolkata Knight Riders,1,1,1,1,1,1,1,17,24,1,848,1,1,283,1,0
EJG Morgan,Kolkata Knight Riders,384,278,29,23,13813,4267,9,1,1,1,1,1,1,1,1,0
KL Nagarkoti,Kolkata Knight Riders,22,31,1,1,7097,733,3,160,231,5,888,462,320,260,4,0
Kuldeep Yadav,Kolkata Knight Riders,13,21,1,1,619,130,1,56,74,1,822,740,560,90,1,1
LH Ferguson,Kolkata Knight Riders,43,29,4,1,14828,430,1,100,133,3,84,4433,3333,1583,4,1
N Rana,Kolkata Knight Riders,323,234,40,11,13803,2485,13,13,23,1,115,1,1,20,1,0
NS Naik,Kolkata Knight Riders,1,3,1,1,3333,10,1,1,1,1,1,1,1,1,1,0
PJ Cummins,Kolkata Knight Riders,146,114,9,8,12807,2086,7,297,386,11,804,3509,270,480,9,0
RA Tripathi,Kolkata Knight Riders,207,165,19,9,12545,230,9,1,1,1,1,1,1,1,1,0
RK Singh,Kolkata Knight Riders,11,11,1,1,1000,110,1,1,1,1,1,1,1,1,1,0
S Sandeep Warrier,Kolkata Knight Riders,1,1,1,1,1,1,1,21,34,1,1133,1,1,30,3,0
