player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
AF Milne,Chennai Super Kings,1,1,1,1,1,1,1,15,19,1,76,1,1,25,1,0
AT Rayudu,Chennai Super Kings,274,223,25,15,12287,2491,11,1,1,1,1,1,1,1,1,0
CJ Jordan,Chennai Super Kings,11,8,1,1,1375,110,1,80,135,2,1052,675,400,1283,1,2
D Pretorius,Chennai Super Kings,44,28,3,3,15714,110,4,138,210,6,100,350,230,210,12,0
DJ Bravo,Chennai Super Kings,23,24,1,1,9583,115,2,229,299,16,871,1869,1431,3433,20,3
DP Conway,Chennai Super Kings,252,172,23,12,14651,420,6,1,1,1,1,1,1,1,1,0
M Pathirana,Chennai Super Kings,1,1,1,1,1,1,1,48,52,2,761,1,240,683,7,0
MJ Santner,Chennai Super Kings,22,27,3,1,8148,110,2,114,133,4,70,3325,285,190,1,0
MM Ali,Chennai Super Kings,244,177,24,11,13785,244,10,146,158,8,663,1975,1825,2383,3,0
MS Dhoni,Chennai Super Kings,232,186,21,10,12473,3314,7,1,1,1,1,1,1,1,1,0
Mukesh Choudhary,Chennai Super Kings,6,6,1,1,1000,60,1,291,424,16,932,265,1819,455,18,0
N Jagadeesan,Chennai Super Kings,40,37,3,1,10811,400,1,1,1,1,1,1,1,1,1,0
PH Solanki,Chennai Super Kings,1,1,1,1,1,1,1,36,38,2,633,1,180,60,1,0
RA Jadeja,Chennai Super Kings,116,98,6,5,11837,1933,6,203,251,5,761,502,406,330,5,0
RD Gaikwad,Chennai Super Kings,368,289,33,14,12734,2629,14,1,1,1,1,1,1,1,1,0
RV Uthappa,Chennai Super Kings,230,170,19,14,13529,2091,11,1,1,1,1,1,1,1,1,0
S Dube,Chennai Super Kings,289,184,22,16,15707,289,10,14,39,1,195,1,1,20,2,0
Simarjeet Singh,Chennai Super Kings,7,8,1,1,875,70,1,113,141,4,783,3525,2825,180,4,1
M Theekshana,Chennai Super Kings,7,7,1,1,1000,70,1,212,264,12,754,220,1767,350,2,0
TU Deshpande,Chennai Super Kings,1,1,1,1,1,1,1,43,66,1,943,1,430,70,1,0
A Nortje,Delhi Capitals,1,6,1,1,1667,10,1,143,217,9,972,2411,1589,2233,5,4
AR Patel,Delhi Capitals,182,120,12,10,15167,455,4,261,322,6,749,5367,435,430,3,0
C Sakariya,Delhi Capitals,1,1,1,1,1,1,1,71,84,3,764,280,2367,110,5,0
DA Warner,Delhi Capitals,432,285,52,15,15158,480,9,1,1,1,1,1,1,1,1,0
KK Ahmed,Delhi Capitals,1,2,1,1,1,1,2,242,315,16,804,1969,1512,3917,6,1
KL Nagarkoti,Delhi Capitals,1,1,1,1,1,1,1,13,29,1,145,1,1,20,1,0
Kuldeep Yadav,Delhi Capitals,48,52,3,2,9231,480,1,306,419,21,844,1995,1457,4967,8,0
Lalit Yadav,Delhi Capitals,161,144,11,7,11181,230,7,110,151,4,839,3775,275,180,1,1
Mandeep Singh,Delhi Capitals,18,23,4,1,7826,60,3,1,1,1,1,1,1,1,1,0
MR Marsh,Delhi Capitals,251,189,19,14,1328,3138,8,76,102,4,85,255,190,120,4,0
Mustafizur Rahman,Delhi Capitals,3,5,1,1,600,30,1,199,244,8,762,305,2488,320,7,0
PP Shaw,Delhi Capitals,283,184,37,10,1538,283,10,1,1,1,1,1,1,1,1,0
R Powell,Delhi Capitals,250,167,10,22,1497,250,10,7,17,1,170,1,1,10,1,0
RR Pant,Delhi Capitals,340,222,35,16,15315,3091,11,1,1,1,1,1,1,1,1,0
RV Patel,Delhi Capitals,6,3,1,1,2000,60,1,1,1,1,1,1,1,1,1,0
SN Khan,Delhi Capitals,91,67,9,2,13582,3033,3,1,1,1,1,1,1,1,1,0
SN Thakur,Delhi Capitals,120,87,7,7,13793,150,8,315,477,15,987,318,210,4833,24,1
TL Seifert,Delhi Capitals,24,19,4,1,12632,120,2,1,1,1,1,1,1,1,1,0
B Sai Sudharsan,Gujarat Titans,145,113,14,3,12832,3625,4,1,1,1,1,1,1,1,1,0
LH Ferguson,Gujarat Titans,5,4,1,1,1250,25,2,298,427,12,896,3558,2483,4767,11,1
Shubman Gill,Gujarat Titans,483,362,51,11,13343,345,14,1,1,1,1,1,1,1,1,0
HH Pandya,Gujarat Titans,487,370,49,12,13162,4427,11,189,222,8,728,2775,2362,305,5,1
Mohammed Shami,Gujarat Titans,1,1,1,1,1,1,1,378,488,20,80,244,189,610,12,0
DA Miller,Gujarat Titans,481,335,32,23,14358,6871,7,1,1,1,1,1,1,1,1,0
R Tewatia,Gujarat Titans,217,147,22,9,14762,310,7,36,76,1,1267,1,1,60,1,0
Rashid Khan,Gujarat Titans,91,44,3,9,20682,2275,4,386,424,19,664,2232,2032,6383,3,0
V Shankar,Gujarat Titans,19,35,1,1,5429,475,4,10,15,1,100,1,1,15,1,0
WP Saha,Gujarat Titans,317,259,40,7,12239,317,10,1,1,1,1,1,1,1,1,0
A Manohar,Gujarat Titans,108,75,14,3,1440,180,6,1,1,1,1,1,1,1,1,0
AS Joseph,Gujarat Titans,5,7,1,1,7143,50,1,185,264,7,88,3771,2643,300,4,1
DG Nalkande,Gujarat Titans,1,1,1,1,1,1,1,33,59,2,1141,1,165,517,2,0
MS Wade,Gujarat Titans,157,138,23,2,11377,157,10,1,1,1,1,1,1,1,1,0
PJ Sangwan,Gujarat Titans,2,5,1,1,400,20,1,56,65,3,722,2167,1867,90,2,0
R Sai Kishore,Gujarat Titans,1,1,1,1,1,1,1,98,121,6,756,2017,1633,160,2,0
VR Aaron,Gujarat Titans,1,1,1,1,1,1,1,33,52,2,104,1,165,50,3,0
Yash Dayal,Gujarat Titans,1,1,1,1,1,1,1,205,296,11,925,2691,1864,320,10,3
A Tomar,Kolkata Knight Riders,4,8,1,1,500,40,1,1,1,1,1,1,1,1,1,0
AD Russell,Kolkata Knight Riders,335,189,18,32,17725,3722,9,176,281,17,998,1653,1035,2817,6,1
AJ Finch,Kolkata Knight Riders,86,61,10,3,14098,172,5,1,1,1,1,1,1,1,1,0
AM Rahane,Kolkata Knight Riders,133,128,14,4,10391,190,7,1,1,1,1,1,1,1,1,0
Aman Hakim Khan,Kolkata Knight Riders,5,3,1,1,16667,50,1,6,13,1,130,1,1,10,1,0
AS Roy,Kolkata Knight Riders,1,2,1,1,1,1,1,42,55,1,786,1,420,70,1,0
B Indrajith,Kolkata Knight Riders,21,30,2,1,700,70,3,1,1,1,1,1,1,1,1,0
CV Varun,Kolkata Knight Riders,12,18,2,1,6667,120,1,245,335,6,859,5583,4083,390,8,3
Harshit Rana,Kolkata Knight Riders,2,2,1,1,1000,20,1,31,51,1,102,1,310,50,1,1
KS Bharat,Kolkata Knight Riders,8,7,2,1,11429,40,2,1,1,1,1,1,1,1,1,0
N Rana,Kolkata Knight Riders,361,249,29,22,14498,2777,13,12,23,1,115,1,1,20,1,0
PJ Cummins,Kolkata Knight Riders,63,23,5,6,27391,1575,4,127,215,7,1084,3071,1814,1983,8,0
Rasikh Salam,Kolkata Knight Riders,7,6,1,0,11667,70,1,24,28,1,70,1,1,40,1,0
RK Singh,Kolkata Knight Riders,174,117,17,7,14872,348,5,1,1,1,1,1,1,1,1,0
Shivam Mavi,Kolkata Knight Riders,3,7,1,1,4286,15,2,142,227,5,1032,454,284,220,8,2
SP Jackson,Kolkata Knight Riders,23,26,1,1,8846,575,4,1,1,1,1,1,1,1,1,0
SP Narine,Kolkata Knight Riders,71,40,6,6,1775,888,8,342,315,9,562,350,380,560,6,0
