player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
J Suchith,48,32,4,2,150,48,1,239,337,10,8.64,33.7,23.9,39,5,0,398,J Suchith,Mumbai Indians
KC Cariappa,0,0,0,0,,0,0,12,28,1,14,,12,2,0,0,422,KC Cariappa,Kolkata Knight Riders
Q de Kock,53,38,9,1,139.47,26.5,2,0,0,0,,,,0,0,0,355,Q de Kock,Delhi Daredevils
CJ Anderson,114,96,11,6,118.75,38,3,24,33,1,8.25,,24,4,0,0,372,CJ Anderson,Mumbai Indians
NM Coulter-Nile,20,18,2,1,111.11,5,4,264,324,15,7.62,21.6,17.6,42.5,8,1,371,NM Coulter-Nile,Delhi Daredevils
V Sehwag,98,80,12,3,122.5,14,7,0,0,0,,,,0,0,0,41,V Sehwag,Kings XI Punjab
BB Sran,0,0,0,0,,0,0,20,35,0,11.67,,,3,1,1,429,BB Sran,Rajasthan Royals
Anureet Singh,18,31,0,1,58.06,6,3,298,424,14,8.89,30.29,21.29,47.67,7,5,395,Anureet Singh,Kings XI Punjab
DR Smith,399,331,52,16,120.54,24.94,16,12,17,1,8.5,,12,2,0,0,147,DR Smith,Chennai Super Kings
MK Pandey,225,184,22,7,122.28,20.45,11,0,0,0,,,,0,0,0,96,MK Pandey,Kolkata Knight Riders
R Dhawan,36,33,2,2,109.09,18,2,79,110,1,9.17,,79,12,6,1,356,R Dhawan,Kings XI Punjab
EJG Morgan,187,151,11,11,123.84,23.38,8,0,0,0,,,,0,0,0,216,EJG Morgan,Sunrisers Hyderabad
S Aravind,0,1,0,0,0,0,0,110,132,8,7.33,16.5,13.75,18,2,0,270,S Aravind,Royal Challengers Bangalore
UT Yadav,29,14,5,1,207.14,29,1,266,382,10,9.1,38.2,26.6,42,12,2,232,UT Yadav,Kolkata Knight Riders
JP Faulkner,143,105,12,5,136.19,20.43,7,244,359,8,9.21,44.88,30.5,39,9,1,310,JP Faulkner,Rajasthan Royals
Parvez Rasool,2,2,0,0,100,2,0,30,31,1,6.2,,30,5,0,0,366,Parvez Rasool,Sunrisers Hyderabad
YK Pathan,312,229,29,12,136.24,44.57,7,60,98,2,9.8,,30,10,0,0,31,YK Pathan,Kolkata Knight Riders
KL Rahul,142,124,8,5,114.52,28.4,5,0,0,0,,,,0,0,0,354,KL Rahul,Sunrisers Hyderabad
MM Sharma,28,18,1,2,155.56,9.33,3,350,481,14,8.44,34.36,25,57,6,2,364,MM Sharma,Chennai Super Kings
PA Patel,339,246,47,5,137.8,26.08,13,0,0,0,,,,0,0,0,17,PA Patel,Mumbai Indians
SP Narine,0,1,0,0,0,0,0,196,240,7,7.5,34.29,28,32,4,0,315,SP Narine,Kolkata Knight Riders
SV Samson,199,160,15,8,124.37,19.9,10,0,0,0,,,,0,0,0,351,SV Samson,Rajasthan Royals
AR Patel,194,167,12,8,116.17,21.56,9,264,362,11,8.48,32.91,24,42.67,8,0,374,AR Patel,Kings XI Punjab
DW Steyn,20,13,3,0,153.85,20,1,116,170,3,8.95,56.67,38.67,19,2,0,94,DW Steyn,Sunrisers Hyderabad
KK Nair,156,132,16,4,118.18,15.6,10,0,0,0,,,,0,0,0,339,KK Nair,Rajasthan Royals
JP Duminy,347,272,23,17,127.57,34.7,10,107,127,8,7.47,15.88,13.38,17,5,0,154,JP Duminy,Delhi Daredevils
CH Gayle,480,322,38,37,149.07,43.64,11,0,0,0,,,,0,0,0,162,CH Gayle,Royal Challengers Bangalore
LMP Simmons,540,438,56,21,123.29,45,12,0,0,0,,,,0,0,0,383,LMP Simmons,Mumbai Indians
J Theron,1,1,0,0,100,1,0,26,40,1,10,,26,4,2,0,233,J Theron,Rajasthan Royals
P Suyal,0,0,0,0,,0,0,67,95,0,9.5,,,10,3,4,453,P Suyal,Mumbai Indians
D Wiese,111,77,10,4,144.16,37,3,238,317,16,8.27,19.81,14.88,38.33,8,0,401,D Wiese,Royal Challengers Bangalore
MG Johnson,18,29,0,1,62.07,4.5,4,201,304,8,9.55,38,25.12,31.83,10,0,357,MG Johnson,Kings XI Punjab
MA Starc,11,14,1,0,78.57,11,1,247,263,20,6.74,13.15,12.35,39,12,1,378,MA Starc,Royal Challengers Bangalore
SK Raina,374,303,31,16,123.43,24.93,15,78,93,2,7.75,,39,12,6,0,21,SK Raina,Chennai Super Kings
GB Hogg,7,6,0,0,116.67,7,1,127,144,9,6.86,16,14.11,21,1,0,316,GB Hogg,Kolkata Knight Riders
Mandeep Singh,130,80,13,6,162.5,21.67,6,0,0,0,,,,0,0,0,236,Mandeep Singh,Royal Challengers Bangalore
DJG Sammy,13,18,0,0,72.22,6.5,2,18,25,0,8.33,,,3,0,0,362,DJG Sammy,Royal Challengers Bangalore
R Ashwin,52,32,6,1,162.5,17.33,3,240,228,10,5.85,22.8,24,39,5,1,201,R Ashwin,Chennai Super Kings
MA Agarwal,213,176,23,7,121.02,23.67,9,0,0,0,,,,0,0,0,260,MA Agarwal,Delhi Daredevils
M de Lange,0,0,0,0,,0,0,26,30,0,7.5,,,4,2,0,389,M de Lange,Mumbai Indians
JD Unadkat,0,0,0,0,,0,0,18,30,0,10,,,3,0,0,346,JD Unadkat,Delhi Daredevils
RV Uthappa,364,277,42,7,131.41,30.33,12,0,0,0,,,,0,0,0,46,RV Uthappa,Kolkata Knight Riders
