,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
0,BCJ Cutting,96,58,5,8,165.52,24.0,4,105,168,2,9.88,84.0,52.5,17.0,3,0,Mumbai Indians
1,CA Lynn,491,377,56,18,130.24,32.73,15,0,0,0,,,,0.0,0,0,Kolkata Night Riders
2,Q de Kock,201,162,20,8,124.07,25.12,8,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
3,CJ Anderson,17,22,0,1,77.27,5.67,3,56,115,3,13.26,,18.67,8.67,4,0,Royal Challengers Bangalore
4,SP Goswami,52,38,6,1,136.84,17.33,3,0,0,0,,,,0.0,0,0,Sunrisers Hyderbad
5,BB Sran,3,7,0,0,42.86,3.0,1,146,229,4,10.41,57.25,36.5,22.0,12,2,Kings XI Punjab
6,Shivam Mavi,13,15,1,0,86.67,4.33,3,179,270,5,9.64,54.0,35.8,28.0,10,1,Kolkata Night Riders
7,DL Chahar,50,29,1,4,172.41,16.67,3,248,278,10,7.28,27.8,24.8,38.17,17,2,Chennai Super Kings
8,Anureet Singh,3,4,0,0,75.0,3.0,0,24,42,1,10.5,,24.0,4.0,0,0,Rajasthan Royals
9,MK Pandey,284,246,22,5,115.45,25.82,11,0,0,0,,,,0.0,0,0,Sunrisers Hyderbad
10,UT Yadav,3,11,0,0,27.27,0.75,4,331,418,20,7.86,20.9,16.55,53.17,10,2,Royal Challengers Bangalore
11,Rashid Khan,59,31,3,6,190.32,11.8,5,411,461,21,6.78,21.95,19.57,68.0,3,0,Sunrisers Hyderbad
12,DJM Short,115,99,11,5,116.16,16.43,7,18,22,1,7.33,,18.0,3.0,0,0,Rajasthan Royals
13,YK Pathan,260,200,22,11,130.0,28.89,9,12,14,1,7.0,,12.0,2.0,0,0,Sunrisers Hyderbad
14,Mujeeb Ur Rahman,10,7,2,0,142.86,10.0,1,254,289,14,6.99,20.64,18.14,41.33,6,0,Kings XI Punjab
15,KL Rahul,659,415,66,32,158.8,54.92,12,0,0,0,,,,0.0,0,0,Kings XI Punjab
16,MM Sharma,10,13,1,0,76.92,10.0,1,186,322,7,10.85,46.0,26.57,29.67,6,2,Kings XI Punjab
17,AD Hales,148,117,13,6,126.5,24.67,6,0,0,0,,,,0.0,0,0,Sunrisers Hyderbad
18,PA Patel,153,109,20,4,140.37,30.6,5,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
19,SP Narine,357,188,40,23,189.89,22.31,16,371,467,17,7.66,27.47,21.82,61.0,5,0,Kolkata Night Riders
20,SV Samson,441,319,30,19,138.24,31.5,14,0,0,0,,,,0.0,0,0,Rajasthan Royals
21,AR Patel,80,69,3,4,115.94,13.33,6,158,218,3,8.38,72.67,52.67,26.0,2,0,Kings XI Punjab
22,KK Nair,301,221,23,13,136.2,25.08,12,0,0,0,,,,0.0,0,0,Kings XI Punjab
23,RK Bhui,0,5,0,0,0.0,0.0,1,0,0,0,,,,0.0,0,0,Sunrisers Hyderbad
24,JP Duminy,36,40,3,1,90.0,36.0,1,18,36,0,12.0,,,3.0,0,0,Mumbai Indians
25,CH Gayle,368,252,30,27,146.03,40.89,9,0,0,0,,,,0.0,0,0,Kings XI Punjab
26,Washington Sundar,65,38,5,4,171.05,21.67,3,122,192,4,9.6,48.0,30.5,20.0,2,0,Royal Challengers Bangalore
27,MG Johnson,16,10,2,0,160.0,16.0,0,133,216,2,10.29,108.0,66.5,21.0,7,0,Kolkata Night Riders
28,SK Raina,445,335,46,12,132.84,37.08,12,0,0,0,,,,0.0,0,0,Chennai Super Kings
29,Mandeep Singh,252,186,16,11,135.48,25.2,10,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
30,R Tewatia,50,43,5,1,116.28,16.67,3,134,173,6,7.86,28.83,22.33,22.0,2,0,Delhi Capitals
31,AS Rajpoot,11,18,1,0,61.11,3.67,3,166,226,11,8.64,20.55,15.09,26.17,7,2,Kings XI Punjab
32,C Munro,63,41,7,4,153.66,12.6,5,0,0,0,,,,0.0,0,0,Delhi Capitals
33,L Ngidi,0,0,0,0,,0.0,0,163,157,11,6.04,14.27,14.82,26.0,7,0,Chennai Super Kings
34,V Shankar,212,147,11,11,144.22,53.0,4,34,58,1,11.6,,34.0,5.0,3,1,Delhi Capitals
35,R Ashwin,102,71,7,5,143.66,12.75,8,314,410,10,8.09,41.0,31.4,50.67,10,0,Kings XI Punjab
36,MA Agarwal,120,94,9,5,127.66,12.0,10,0,0,0,,,,0.0,0,0,Kings XI Punjab
37,KK Ahmed,0,0,0,0,,0.0,0,19,38,0,12.67,,,3.0,1,0,Sunrisers Hyderbad
38,JD Unadkat,49,38,6,1,128.95,12.25,4,310,486,11,9.66,44.18,28.18,50.33,7,1,Rajasthan Royals
39,RV Uthappa,351,264,30,21,132.95,21.94,16,0,0,0,,,,0.0,0,0,Kolkata Night Riders
40,M Prasidh Krishna,1,5,0,0,20.0,1.0,0,177,260,10,9.29,26.0,17.7,28.0,9,0,Kolkata Night Riders
