,Year,Actual Points,team_name,Predicted Points
0,2008,16,Chennai Super Kings,18.320303975542174
1,2008,22,Rajasthan Royals,17.36793865695973
2,2008,8,Royal Challengers Bangalore,4.960074482417937
3,2008,15,Delhi Capitals,16.741073475726036
4,2008,20,Kings XI Punjab,18.01454935342228
5,2008,14,Mumbai Indians,6.213804844885324
6,2008,4,Sunrisers Hyderabad,10.110322517236053
7,2009,13,Rajasthan Royals,4.960074482417937
8,2009,17,Chennai Super Kings,16.28463633166367
9,2009,14,Sunrisers Hyderabad,16.911501512897363
10,2009,16,Royal Challengers Bangalore,11.820490023765808
11,2009,20,Delhi Capitals,15.657771150429976
12,2009,14,Kings XI Punjab,14.40404078796259
13,2009,11,Mumbai Indians,12.71361879666169
14,2010,12,Rajasthan Royals,6.689987504176545
15,2010,16,Sunrisers Hyderabad,11.610570956136776
16,2010,14,Royal Challengers Bangalore,13.396079723637765
17,2010,20,Mumbai Indians,13.110070616746722
18,2010,14,Delhi Capitals,12.296672683057029
19,2010,8,Kings XI Punjab,15.145738260625228
20,2010,14,Chennai Super Kings,15.181588491138754
21,2011,18,Mumbai Indians,22.80419579866889
22,2011,18,Chennai Super Kings,24.057926161136276
23,2011,9,Lucknow Super Giants,6.634391758434163
24,2011,14,Kings XI Punjab,17.97505832296457
25,2011,12,Sunrisers Hyderabad,17.804630285793245
26,2011,19,Royal Challengers Bangalore,18.184977390593602
27,2011,13,Rajasthan Royals,11.554975210394392
28,2011,12,Kochi Tuskers Kerala,8.360663980248592
29,2011,9,Delhi Capitals,10.642100922269657
30,2012,20,Mumbai Indians,12.693873281432836
31,2012,8,Lucknow Super Giants,8.229726973534973
32,2012,9,Sunrisers Hyderabad,12.90379234906187
33,2012,14,Rajasthan Royals,17.292597395988494
34,2012,22,Delhi Capitals,19.724716859952032
35,2012,17,Royal Challengers Bangalore,14.744896862305241
36,2012,16,Kings XI Punjab,7.812780859930315
37,2012,17,Chennai Super Kings,16.816414736697272
38,2013,8,Lucknow Super Giants,10.130068032464909
39,2013,22,Mumbai Indians,17.899717061993332
40,2013,20,Sunrisers Hyderabad,10.376586108898241
41,2013,18,Royal Challengers Bangalore,19.649375598980797
42,2013,6,Delhi Capitals,10.586505176527275
43,2013,16,Kings XI Punjab,15.602175404687594
44,2013,20,Rajasthan Royals,12.38811865931294
45,2013,22,Chennai Super Kings,21.832084964857593
46,2014,14,Rajasthan Royals,7.79303534470146
47,2014,4,Delhi Capitals,9.463711820773508
48,2014,14,Mumbai Indians,14.574468825133916
49,2014,22,Kings XI Punjab,16.93124702812622
50,2014,18,Chennai Super Kings,19.554288822780705
51,2014,12,Sunrisers Hyderabad,13.852516867700132
52,2014,10,Royal Challengers Bangalore,3.3449937520882727
53,2015,16,Mumbai Indians,15.847944702830157
54,2015,11,Delhi Capitals,13.836412152415459
55,2015,6,Kings XI Punjab,7.126679133010059
56,2015,16,Rajasthan Royals,12.638277535690454
57,2015,18,Chennai Super Kings,16.79666922146842
58,2015,14,Sunrisers Hyderabad,12.352268428799412
59,2015,16,Royal Challengers Bangalore,10.79278344421213
60,2016,14,Mumbai Indians,13.245397201695294
61,2016,16,Sunrisers Hyderabad,15.221079521596462
62,2016,8,Kings XI Punjab,5.531343917909249
63,2016,14,Delhi Capitals,15.677516665658832
64,2016,16,Royal Challengers Bangalore,14.764642377534095
65,2016,10,Lucknow Super Giants,11.574720725623246
66,2016,18,Gujarat Titans,10.677951152783185
67,2017,17,Sunrisers Hyderabad,15.77260344185892
68,2017,14,Kings XI Punjab,12.181840391628086
69,2017,8,Gujarat Titans,16.1339538097212
70,2017,12,Delhi Capitals,8.836846639539814
71,2017,7,Royal Challengers Bangalore,10.376586108898241
72,2017,18,Lucknow Super Giants,8.455750756448682
73,2017,20,Mumbai Indians,11.895831284737046
74,2018,12,Mumbai Indians,12.71361879666169
75,2018,16,Kolkata Night Riders,15.733112411401212
76,2018,12,Royal Challengers Bangalore,11.820490023765808
77,2018,12,Kings XI Punjab,10.928110029160699
78,2018,18,Chennai Super Kings,12.276927167828177
79,2018,14,Rajasthan Royals,9.368625044573417
80,2018,10,Delhi Capitals,12.4473552049995
81,2019,18,Delhi Capitals,9.920148964835874
82,2019,18,Mumbai Indians,15.201334006367608
83,2019,12,Kolkata Night Riders,17.00658828909745
84,2019,18,Chennai Super Kings,15.507088628487505
85,2019,12,Kings XI Punjab,14.518873079391533
86,2019,11,Royal Challengers Bangalore,16.37972310786376
87,2019,12,Sunrisers Hyderabad,12.71361879666169
88,2019,11,Rajasthan Royals,12.998879125261958
89,2020,18,Mumbai Indians,17.443279917930965
90,2020,14,Sunrisers Hyderabad,15.752857926630066
91,2020,12,Chennai Super Kings,12.638277535690454
92,2020,12,Kings XI Punjab,10.661846437498511
93,2020,14,Royal Challengers Bangalore,12.162094876399232
94,2020,12,Rajasthan Royals,12.4473552049995
95,2020,16,Delhi Capitals,11.249220588274497
96,2021,6,Sunrisers Hyderabad,7.678203053272517
97,2021,18,Royal Challengers Bangalore,11.535229695165539
98,2021,14,Mumbai Indians,13.284888232153001
99,2021,18,Chennai Super Kings,21.264456329310462
100,2021,12,Kings XI Punjab,9.57854411220245
101,2021,10,Rajasthan Royals,13.566507760809088
102,2021,20,Delhi Capitals,10.717442183240893
103,2022,8,Mumbai Indians,16.51504969281233
104,2022,18,Lucknow Super Giants,17.026333804326306
105,2022,18,Rajasthan Royals,18.145486360135894
106,2022,20,Gujarat Titans,21.264456329310462
107,2022,8,Chennai Super Kings,17.387684172188585
108,2022,14,Delhi Capitals,12.923537864290724
109,2022,14,Kings XI Punjab,12.618532020461599
110,2022,16,Royal Challengers Bangalore,18.375899721284554
111,2022,12,Sunrisers Hyderabad,12.237436137370468
112,2023,12,Kings XI Punjab,10.130068032464909
113,2023,17,Lucknow Super Giants,14.880223447253812
114,2023,14,Rajasthan Royals,18.887932611089305
115,2023,14,Royal Challengers Bangalore,16.399468623092616
116,2023,10,Delhi Capitals,7.126679133010059
117,2023,8,Sunrisers Hyderabad,8.324813749735064
118,2023,20,Gujarat Titans,21.434884366481786
119,2023,17,Chennai Super Kings,22.954878320611364
120,2023,16,Mumbai Indians,17.919462577222188
121,2016,0,Rajasthan Royals,0.0
122,2016,0,Chennai Super Kings,0.0
123,2008,0,Lucknow Super Giants,0.0
124,2009,0,Lucknow Super Giants,0.0
125,2014,0,Lucknow Super Giants,0.0
126,2018,0,Lucknow Super Giants,0.0
127,2018,0,Gujarat Titans,0.0
128,2019,0,Lucknow Super Giants,0.0
129,2019,0,Gujarat Titans,0.0
130,2020,0,Lucknow Super Giants,0.0
131,2020,0,Gujarat Titans,0.0
132,2008,0,Gujarat Titans,0.0
133,2009,0,Gujarat Titans,0.0
134,2010,0,Gujarat Titans,0.0
135,2011,0,Gujarat Titans,0.0
136,2012,0,Gujarat Titans,0.0
137,2013,0,Gujarat Titans,0.0
138,2014,0,Gujarat Titans,0.0
139,2008,0,Kochi Tuskers Kerala,0.0
140,2009,0,Kochi Tuskers Kerala,0.0
141,2012,0,Kochi Tuskers Kerala,0.0
142,2013,0,Kochi Tuskers Kerala,0.0
143,2014,0,Kochi Tuskers Kerala,0.0
144,2015,0,Kochi Tuskers Kerala,0.0
145,2016,0,Kochi Tuskers Kerala,0.0
146,2017,0,Kochi Tuskers Kerala,0.0
147,2018,0,Kochi Tuskers Kerala,0.0
148,2019,0,Kochi Tuskers Kerala,0.0
149,2020,0,Kochi Tuskers Kerala,0.0
150,2021,0,Kochi Tuskers Kerala,0.0
151,2022,0,Kochi Tuskers Kerala,0.0
