,team_name,rank_pm1,rank_pm2,rank_pm3,year
0,Chennai Super Kings,2,4,1,2008
1,Rajasthan Royals,4,2,3,2008
2,Royal Challengers Bangalore,8,8,6,2008
3,Kolkata Knight Riders,7,7,4,2008
4,Delhi Capitals,5,3,2,2008
5,Kings XI Punjab,1,1,5,2008
6,Mumbai Indians,6,6,8,2008
7,Sunrisers Hyderabad,3,5,7,2008
8,Rajasthan Royals,8,8,6,2009
9,Chennai Super Kings,4,2,4,2009
10,Sunrisers Hyderabad,3,1,5,2009
11,Royal Challengers Bangalore,2,4,7,2009
12,Kolkata Knight Riders,1,7,8,2009
13,Delhi Capitals,5,3,3,2009
14,Kings XI Punjab,7,5,1,2009
15,Mumbai Indians,6,6,2,2009
16,Rajasthan Royals,5,7,7,2010
17,Sunrisers Hyderabad,8,6,2,2010
18,Kolkata Knight Riders,3,8,1,2010
19,Royal Challengers Bangalore,7,4,3,2010
20,Mumbai Indians,4,1,8,2010
21,Delhi Capitals,1,5,6,2010
22,Kings XI Punjab,2,3,5,2010
23,Chennai Super Kings,6,2,4,2010
24,Mumbai Indians,4,4,1,2011
25,Chennai Super Kings,2,2,3,2011
26,Kolkata Knight Riders,3,6,6,2011
27,Lucknow Super Giants,5,10,9,2011
28,Kings XI Punjab,7,3,5,2011
29,Sunrisers Hyderabad,9,5,2,2011
30,Royal Challengers Bangalore,1,1,10,2011
31,Rajasthan Royals,8,9,4,2011
32,Kochi Tuskers Kerala,10,8,7,2011
33,Delhi Capitals,6,7,8,2011
34,Mumbai Indians,9,7,2,2012
35,Lucknow Super Giants,7,9,5,2012
36,Sunrisers Hyderabad,3,5,7,2012
37,Rajasthan Royals,5,4,3,2012
38,Delhi Capitals,1,1,6,2012
39,Royal Challengers Bangalore,4,2,8,2012
40,Kings XI Punjab,2,8,9,2012
41,Chennai Super Kings,6,3,4,2012
42,Kolkata Knight Riders,8,6,1,2012
43,Lucknow Super Giants,2,6,9,2013
44,Mumbai Indians,6,3,3,2013
45,Sunrisers Hyderabad,9,9,2,2013
46,Kolkata Knight Riders,5,8,8,2013
47,Royal Challengers Bangalore,1,2,5,2013
48,Delhi Capitals,3,7,7,2013
49,Kings XI Punjab,4,5,4,2013
50,Rajasthan Royals,8,4,6,2013
51,Chennai Super Kings,7,1,1,2013
52,Rajasthan Royals,3,7,7,2014
53,Kolkata Knight Riders,4,4,3,2014
54,Delhi Capitals,6,6,5,2014
55,Mumbai Indians,5,3,4,2014
56,Kings XI Punjab,1,1,6,2014
57,Chennai Super Kings,2,2,2,2014
58,Sunrisers Hyderabad,8,5,1,2014
59,Royal Challengers Bangalore,7,8,8,2014
60,Mumbai Indians,1,1,7,2015
61,Kolkata Knight Riders,5,5,5,2015
62,Delhi Capitals,2,6,3,2015
63,Kings XI Punjab,8,8,4,2015
64,Rajasthan Royals,6,7,1,2015
65,Chennai Super Kings,7,2,2,2015
66,Sunrisers Hyderabad,3,4,6,2015
67,Royal Challengers Bangalore,4,3,8,2015
68,Mumbai Indians,7,6,1,2016
69,Sunrisers Hyderabad,2,2,6,2016
70,Kings XI Punjab,5,8,7,2016
71,Delhi Capitals,3,3,4,2016
72,Kolkata Knight Riders,6,5,2,2016
73,Royal Challengers Bangalore,1,1,8,2016
74,Lucknow Super Giants,4,7,3,2016
75,Gujarat Titans,8,4,5,2016
76,Sunrisers Hyderabad,1,2,6,2017
77,Kings XI Punjab,5,6,3,2017
