PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance,batting id,bowling id,batting erd,bowling erd
Finn Allen,Overseas,Batter,0.0,16480667.0,0.0,7500000.0,0.841418088,1890,427,-1.8517999999999968,-4.209699999999998
Ashutosh Sharma,Indian,All-Rounder,0.0,7400235.5,2000000.0,0.0,0.822750703,3046,-1,-1.1607999999999947,-0.0
Kusal Mendis,Overseas,Wicket-Keeper,0.0,2125319.5,0.0,5000000.0,0.69953111,-1,-1,0.0,-0.0
Rassie Van Der Dussen,Overseas,Batter,0.0,2135125.5,0.0,20000000.0,0.686390984,581,-1,-0.6543,-0.0
Samuel Hain,Overseas,Batter,0.0,2127266.2,0.0,5000000.0,0.681846464,-1,-1,0.0,-0.0
Michael Bracewell,Overseas,All-Rounder,1.0,10993871.0,0.0,10000000.0,0.675320255,617,479,-0.2092999999999847,15.247299999999996
James Vince,Overseas,Batter,1.0,8082313.0,0.0,20000000.0,0.674611308,1164,-1,-0.7518000000000029,-0.0
Josh Inglis,Overseas,Wicket-Keeper,1.0,10078664.0,0.0,20000000.0,0.671619204,1954,-1,-1.0477999999999952,-0.0
Rilee Rossouw,Overseas,Batter,1.0,16531287.0,80000000.0,0.0,0.66897751,381,-1,-1.2812999999999874,-0.0
Harry Brook,Overseas,Batter,1.0,15408319.0,40000000.0,0.0,0.663030289,610,-1,0.3887,-0.0
Colin Munro,Overseas,Batter,1.0,5077823.5,0.0,15000000.0,0.662958213,412,312,0.0211999999999932,-17.422699999999992
Reeza Hendricks,Overseas,Batter,1.0,13276799.0,0.0,5000000.0,0.650626802,1093,1451,0.2667000000000143,-0.8336999999999932
Travis Head,Overseas,Batter,1.0,7459493.0,68000000.0,0.0,0.649978063,418,333,-0.527799999999985,-14.780200000000008
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,0.0,2126479.5,4000000.0,0.0,0.649650746,-1,-1,0.0,-0.0
Matthew Short,Overseas,All-Rounder,0.0,2771313.5,0.0,5000000.0,0.640678301,618,486,0.1237000000000136,-1.061700000000002
Virat Singh,Indian,Batter,0.0,2322073.0,0.0,2000000.0,0.638966778,544,235,-0.3693000000000097,-2.812700000000006
Jake Fraser-Mcgurk,Overseas,All-Rounder,0.0,2114126.8,0.0,2000000.0,0.63834455,-1,-1,0.0,-0.0
Ben Duckett,Overseas,Wicket-Keeper,1.0,12902614.0,0.0,20000000.0,0.629280803,1326,-1,-0.3547999999999831,-0.0
Gerald Coetzee,Overseas,All-Rounder,1.0,2130247.5,50000000.0,0.0,0.628510669,-1,-1,0.0,-0.0
Johnson Charles,Overseas,Wicket-Keeper,1.0,9470781.0,0.0,5000000.0,0.614042615,937,-1,-1.043299999999988,-0.0
Tristan Stubbs,Overseas,Wicket-Keeper,1.0,11498641.0,5000000.0,0.0,0.612658489,601,498,-0.7203000000000088,-7.7912000000000035
Shubham Dubey,Indian,Batter,0.0,2117931.8,58000000.0,0.0,0.611521219,-1,-1,0.0,-0.0
Ricky Bhui,Indian,Wicket-Keeper,0.0,2200513.8,2000000.0,0.0,0.610654478,476,-1,-0.212299999999999,-0.0
Wesley Agar,Overseas,All-Rounder,0.0,2121347.5,0.0,5000000.0,0.590554024,-1,-1,0.0,-0.0
Brandon King,Overseas,Batter,1.0,20544278.0,0.0,5000000.0,0.578274872,1554,-1,-0.3118000000000052,-0.0
Daryl Mitchell,Overseas,All-Rounder,1.0,18602014.0,140000000.0,0.0,0.576818499,589,461,-0.2272999999999854,-0.5801999999999907
Arshin Kulkarni,Indian,All-Rounder,0.0,2099252.5,2000000.0,0.0,0.55684592,-1,-1,0.0,-0.0
K.S. Bharat,Indian,Wicket-Keeper,1.0,2360383.5,5000000.0,0.0,0.551854135,548,-1,0.871200000000016,-0.0
Shai Hope,Overseas,Wicket-Keeper,1.0,7142858.5,7500000.0,0.0,0.551314064,1274,-1,-0.9352999999999838,-0.0
Ibrahim Zadran,Overseas,Batter,1.0,16641866.0,0.0,5000000.0,0.547876478,1607,-1,-0.6322999999999865,-0.0
Manish Pandey,Indian,Batter,1.0,5443306.5,5000000.0,0.0,0.54573212,97,-1,0.223700000000008,-0.0
Steve Smith,Overseas,Batter,0.0,10063720.0,0.0,20000000.0,0.536678502,307,247,-0.5883000000000038,0.4022999999999967
Dasun Shanaka,Overseas,All-Rounder,0.0,2126887.0,0.0,5000000.0,0.530756462,-1,-1,0.0,-0.0
Sameer Rizvi,Indian,Batter,0.0,2107491.5,84000000.0,0.0,0.526431592,-1,-1,0.0,-0.0
Karun Nair,Indian,Batter,0.0,2976007.5,0.0,5000000.0,0.526193574,340,-1,0.3657000000000039,-0.0
Manan Vohra,Indian,Batter,0.0,2751321.2,0.0,2000000.0,0.521735004,346,-1,-1.1992999999999938,-0.0
Mark Chapman,Overseas,Batter,1.0,16188677.0,0.0,5000000.0,0.518192786,1065,913,-0.415300000000002,4.119799999999998
Alick Athanaze,Overseas,Batter,0.0,2124685.0,0.0,5000000.0,0.515727859,-1,-1,0.0,-0.0
Najibullah Zadran,Overseas,Batter,1.0,12456721.0,0.0,5000000.0,0.515246074,952,-1,-0.4037999999999897,-0.0
Charith Asalanka,Overseas,All-Rounder,0.0,2119927.0,0.0,5000000.0,0.504175684,-1,-1,0.0,-0.0
Wiaan Mulder,Overseas,All-Rounder,0.0,2118766.8,0.0,5000000.0,0.494720591,-1,-1,0.0,-0.0
Dhruv Shorey,Indian,Batter,0.0,2289006.5,0.0,2000000.0,0.491801971,483,-1,-0.8627999999999929,-0.0
Rovman Powell,Overseas,Batter,1.0,22924594.0,74000000.0,0.0,0.48487585,564,453,0.3311999999999955,-7.0031999999999925
Shashank Singh (2),Indian,All-Rounder,1.0,11522333.0,2000000.0,2000000.0,0.484832172,-1,-1,0.0,-0.0
