PLAYER,TEAM,batting id,bowling id
Shardul Thakur,Chennai Super Kings,407,306
Rachin Ravindra,Chennai Super Kings,2057,1525
Mustafizur Rahman,Chennai Super Kings,480,316
Sameer Rizvi,Chennai Super Kings,-1,-1
Daryl Mitchell,Chennai Super Kings,589,461
Avanish Rao Aravelly,Chennai Super Kings,-1,-1
MS Dhoni,Chennai Super Kings,20,-1
Devon Conway,Chennai Super Kings,562,-1
Ruturaj Gaikwad,Chennai Super Kings,519,-1
Ajinkya Rahane,Chennai Super Kings,86,139
Shaik Rasheed,Chennai Super Kings,-1,-1
Ravindra Jadeja,Chennai Super Kings,35,94
Mitchell Santner,Chennai Super Kings,506,386
Moeen Ali,Chennai Super Kings,484,372
Shivam Dube,Chennai Super Kings,491,378
Nishant Sindhu,Chennai Super Kings,-1,-1
Ajay Mandal,Chennai Super Kings,-1,-1
Richard Gleeson,Chennai Super Kings,2169,1604
Rajvardhan Hangargekar,Chennai Super Kings,-1,473
Deepak Chahar,Chennai Super Kings,444,329
Maheesh Theekshana,Chennai Super Kings,595,451
Mukesh Choudhary,Chennai Super Kings,576,445
Prashan Solanki,Chennai Super Kings,-1,469
Simarjeet Singh,Chennai Super Kings,594,465
Tushar Deshpande,Chennai Super Kings,520,405
Metheesha Pathirana,Chennai Super Kings,2737,470
Abhishek Porel,Delhi Capitals,-1,-1
Anrich Nortje,Delhi Capitals,532,406
Axar Patel,Delhi Capitals,3010,2238
David Warner,Delhi Capitals,188,415
Ishant Sharma,Delhi Capitals,85,8
Kuldeep Yadav,Delhi Capitals,455,318
Lalit Yadav,Delhi Capitals,543,425
Lungisani Ngidi,Delhi Capitals,1194,368
Mitchell Marsh,Delhi Capitals,254,178
Mukesh Kumar,Delhi Capitals,609,475
Pravin Dubey,Delhi Capitals,534,417
Prithvi Shaw,Delhi Capitals,478,-1
Rishabh Pant,Delhi Capitals,421,-1
Syed Khaleel Ahmed,Delhi Capitals,1488,1110
Vicky Ostwal,Delhi Capitals,-1,-1
Yash Dhull,Delhi Capitals,620,-1
Harry Brook,Delhi Capitals,610,-1
Tristan Stubbs,Delhi Capitals,601,498
Ricky Bhui,Delhi Capitals,476,-1
Kumar Kushagra,Delhi Capitals,-1,-1
Rasikh Dar,Delhi Capitals,-1,-1
Jhye Richardson,Delhi Capitals,542,422
Sumit Kumar,Delhi Capitals,-1,-1
Shai Hope,Delhi Capitals,1274,-1
Swastik Chhikara,Delhi Capitals,-1,-1
Abhinav Manohar,Gujarat Titans,570,-1
Sai Sudharsan,Gujarat Titans,-1,-1
Darshan Nalkande,Gujarat Titans,637,450
David Miller,Gujarat Titans,321,-1
Jayant Yadav,Gujarat Titans,426,309
Joshua Little,Gujarat Titans,1241,472
Kane Williamson,Gujarat Titans,397,330
Matthew Wade,Gujarat Titans,272,-1
Mohammed Shami,Gujarat Titans,347,255
