PLAYER,TEAM,batting id,bowling id,batting_contribution,bowling_contribution
Shardul Thakur,Chennai Super Kings,407,306,-0.5018000000000029,-6.817700000000002
Rachin Ravindra,Chennai Super Kings,2057,1525,0.5732000000000141,-0.9787000000000036
Mustafizur Rahman,Chennai Super Kings,480,316,-0.7402999999999906,2.7787999999999897
Sameer Rizvi,Chennai Super Kings,-1,-1,0.0,-0.0
Daryl Mitchell,Chennai Super Kings,589,461,-0.2272999999999854,-0.5801999999999907
Avanish Rao Aravelly,Chennai Super Kings,-1,-1,0.0,-0.0
MS Dhoni,Chennai Super Kings,20,-1,0.3317000000000121,-0.0
Devon Conway,Chennai Super Kings,562,-1,-0.1752999999999929,-0.0
Ruturaj Gaikwad,Chennai Super Kings,519,-1,-0.8447999999999922,-0.0
Ajinkya Rahane,Chennai Super Kings,86,139,0.2282000000000152,5.032800000000009
Shaik Rasheed,Chennai Super Kings,-1,-1,0.0,-0.0
Ravindra Jadeja,Chennai Super Kings,35,94,-0.7133000000000038,-1.795199999999994
Mitchell Santner,Chennai Super Kings,506,386,-0.4318000000000097,1.2057999999999822
Moeen Ali,Chennai Super Kings,484,372,-0.128799999999984,1.0227999999999895
Shivam Dube,Chennai Super Kings,491,378,-0.5757999999999868,-9.899200000000008
Nishant Sindhu,Chennai Super Kings,-1,-1,0.0,-0.0
Ajay Mandal,Chennai Super Kings,-1,-1,0.0,-0.0
Richard Gleeson,Chennai Super Kings,2169,1604,0.4952000000000112,-0.0617000000000018
Rajvardhan Hangargekar,Chennai Super Kings,-1,473,0.0,-1.235199999999992
Deepak Chahar,Chennai Super Kings,444,329,-0.4302999999999883,-4.480199999999996
Maheesh Theekshana,Chennai Super Kings,595,451,0.3882000000000118,3.3737999999999886
Mukesh Choudhary,Chennai Super Kings,576,445,-0.3607999999999833,-7.131200000000007
Prashan Solanki,Chennai Super Kings,-1,469,0.0,0.016300000000001
Simarjeet Singh,Chennai Super Kings,594,465,0.0076999999999998,-7.965699999999998
Tushar Deshpande,Chennai Super Kings,520,405,-0.4403000000000077,-14.327699999999991
Metheesha Pathirana,Chennai Super Kings,2737,470,0.6701999999999941,5.3992999999999824
Abhishek Porel,Delhi Capitals,-1,-1,0.0,-0.0
Anrich Nortje,Delhi Capitals,532,406,0.0521999999999991,0.7712999999999965
Axar Patel,Delhi Capitals,3010,2238,1.4797000000000082,0.283299999999997
David Warner,Delhi Capitals,188,415,0.2552000000000021,0.1367999999999938
Ishant Sharma,Delhi Capitals,85,8,-0.8277999999999963,-9.756200000000009
Kuldeep Yadav,Delhi Capitals,455,318,-0.8623000000000047,1.9527999999999963
Lalit Yadav,Delhi Capitals,543,425,-0.6767999999999859,-9.581700000000012
Lungisani Ngidi,Delhi Capitals,1194,368,-0.0157999999999844,4.756799999999998
Mitchell Marsh,Delhi Capitals,254,178,-0.7237999999999829,5.282299999999992
