,0,1,2,3,4,5,6,7
0,3892.0,986.0,213.0,24.0,232.0,0.0,35.0,618.0
1,3941.0,979.0,203.0,61.0,266.0,0.0,50.0,500.0
2,3534.0,1236.0,236.0,186.0,319.0,0.0,77.0,412.0
3,3300.0,1359.0,246.0,268.0,407.0,0.0,90.0,330.0
4,3170.0,1631.0,247.0,130.0,395.0,0.0,104.0,323.0
5,3078.0,1781.0,254.0,32.0,384.0,0.0,106.0,348.0
6,2758.0,2046.0,254.0,26.0,315.0,0.0,97.0,371.0
7,2486.0,2141.0,324.0,16.0,269.0,0.0,103.0,279.0
8,2169.0,2218.0,331.0,19.0,325.0,0.0,140.0,247.0
9,1983.0,2260.0,367.0,30.0,315.0,0.0,182.0,179.0
10,1889.0,2270.0,315.0,56.0,340.0,0.0,190.0,171.0
11,1685.0,2379.0,406.0,31.0,298.0,0.0,226.0,148.0
12,1445.0,2498.0,354.0,24.0,327.0,0.0,242.0,181.0
13,1297.0,2455.0,418.0,14.0,321.0,0.0,249.0,210.0
14,1170.0,2448.0,422.0,12.0,389.0,0.0,299.0,156.0
15,1100.0,2366.0,478.0,11.0,442.0,0.0,355.0,111.0
16,1011.0,2236.0,520.0,7.0,510.0,0.0,439.0,105.0
17,862.0,1980.0,585.0,1.0,699.0,0.0,507.0,167.0
18,793.0,1754.0,656.0,2.0,842.0,0.0,432.0,223.0
19,767.0,1425.0,677.0,2.0,972.0,0.0,449.0,252.0
