,0
0,120.0
1,193.0
2,200.0
3,164.0
4,234.0
5,201.0
6,224.0
7,163.0
8,150.0
9,215.0
10,141.0
11,233.0
12,214.0
13,214.0
14,204.0
15,183.0
16,206.0
17,134.0
18,204.0
19,198.0
20,187.0
21,190.0
22,192.0
23,233.0
24,167.0
25,107.0
26,195.0
27,184.0
28,179.0
29,192.0
30,233.0
31,202.0
32,211.0
33,183.0
34,209.0
35,191.0
36,49.0
37,185.0
38,187.0
39,208.0
40,167.0
41,228.0
42,185.0
43,184.0
44,164.0
45,124.0
46,209.0
47,187.0
48,204.0
49,229.0
50,170.0
51,206.0
52,225.0
53,211.0
54,192.0
55,233.0
56,208.0
57,168.0
58,175.0
59,194.0
60,203.0
61,164.0
62,177.0
63,155.0
64,163.0
65,195.0
66,172.0
67,196.0
68,186.0
69,220.0
70,211.0
71,179.0
72,214.0
73,190.0
74,185.0
75,209.0
76,212.0
77,169.0
78,228.0
79,155.0
80,161.0
81,162.0
82,163.0
83,172.0
84,188.0
85,193.0
86,219.0
87,177.0
88,239.0
89,191.0
90,202.0
91,187.0
92,236.0
93,180.0
94,169.0
95,201.0
96,170.0
97,212.0
98,124.0
99,187.0
100,191.0
101,111.0
102,190.0
103,194.0
104,164.0
105,185.0
106,197.0
107,234.0
108,119.0
109,191.0
110,207.0
111,199.0
112,176.0
113,171.0
114,140.0
115,209.0
116,196.0
117,222.0
118,155.0
119,199.0
120,219.0
121,159.0
122,216.0
123,199.0
124,218.0
125,222.0
126,231.0
127,176.0
128,265.0
129,223.0
130,186.0
131,167.0
132,151.0
133,198.0
134,184.0
135,201.0
136,103.0
137,180.0
138,201.0
139,204.0
140,219.0
141,215.0
142,226.0
143,216.0
144,230.0
145,165.0
146,182.0
147,131.0
148,179.0
149,194.0
150,157.0
151,203.0
152,186.0
153,209.0
154,201.0
155,185.0
156,225.0
157,175.0
158,186.0
159,181.0
160,190.0
161,219.0
162,216.0
163,113.0
164,201.0
165,198.0
166,168.0
167,166.0
168,169.0
